name,price,bedroom_count,bathroom_count,price_per_m2,type,land_area,building_area,interior,floor_count,parking_spaces,construction_date,listing_date,latitude,longitude,map_link,developer,url_link
Dijual Rumah di Perumahan Metland Menteng Cakung Jakarta Timur,2360000000,4,3,14.750.000,Rumah Dijual,200,160,Tak Berperabot,,,,2022-07-03,-6.184506,106.968327,"https://maps.google.com/maps?ll=-6.184506,106.968327&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-dijual-rumah-di-perumahan-metland-menteng-cakung-jakarta-timur-oleh-andrew-20282180
"DIJUAL RUMAH HOOK ASRI di Taman Modern, Cakung , Jaktim",7000000000,5,3,14.000.000,Rumah Dijual,350,500,,,2,,2022-07-03,-6.187507,106.959384,"https://maps.google.com/maps?ll=-6.187507,106.959384&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-dijual-rumah-hook-asri-di-taman-modern-cakung-jaktim-oleh-lena-chen-20264128
Dijual rumah Harapan Indah dekat Tol Cakung Stasiun Keranji,780000000,3,2,7.722.772,Rumah Dijual,60,101,Tak Berperabot,,1,,2022-07-03,-6.181752,106.973684,"https://maps.google.com/maps?ll=-6.181752,106.973684&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-dijual-rumah-harapan-indah-dekat-tol-cakung-stasiun-keranji-oleh-agung-priyanto-20280324
"Dijual RUMAH HOEK Minimalis 2 Lantai Metland menteng, Cakung. .. .",5700000000,5,4,19.191.919,Rumah Dijual,245,297,,,,,2022-07-03,-6.187507,106.959384,"https://maps.google.com/maps?ll=-6.187507,106.959384&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-dijual-rumah-hoek-minimalis-2-lantai-metland-menteng-cakung-oleh-santi-veronika-20279811
"Dijual rumah di Royal Residence , Pulogebang Cakung Jakarta timur",5000000000,4,3,22.727.273,Rumah Dijual,250,220,,,,,2022-07-03,-6.187507,106.959384,"https://maps.google.com/maps?ll=-6.187507,106.959384&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-dijual-rumah-di-royal-residence-pulogebang-cakung-jakarta-timur-oleh-yunie-20278932
"Dijual Rumah Hoek Minimalis 2 Lantai Metland menteng, Cakung",5700000000,5,4,19.191.919,Rumah Dijual,245,297,Sebagian,,2,,2022-07-03,-6.187507,106.959384,"https://maps.google.com/maps?ll=-6.187507,106.959384&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-dijual-rumah-hoek-minimalis-2-lantai-metland-menteng-cakung-oleh-rika-sie-20278695
"Dijual RUMAH HOEK Minimalis 2 Lantai Metland menteng, Cakung.",5700000000000,5,4,19.191.919.192,Rumah Dijual,245,297,,,,,2022-07-03,-6.187507,106.959384,"https://maps.google.com/maps?ll=-6.187507,106.959384&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-dijual-rumah-hoek-minimalis-2-lantai-metland-menteng-cakung-oleh-yelly-saputra-20278385
"Dijual RUMAH HOEK Minimalis 2 Lantai Metland menteng, Cakung",5700000000,5,4,19.191.919,Rumah Dijual,245,297,Tak Berperabot,,,,2022-07-03,-6.356087,106.879792,"https://maps.google.com/maps?ll=-6.356087,106.879792&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-dijual-rumah-hoek-minimalis-2-lantai-metland-menteng-cakung-oleh-nur-an-20276811
"Dijual rumah di Royal Residence , Pulogebang Cakung Jakarta timur",5000000000,4,3,22.727.273,Rumah Dijual,250,220,,,,,2022-07-03,-6.187507,106.959384,"https://maps.google.com/maps?ll=-6.187507,106.959384&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-dijual-rumah-di-royal-residence-pulogebang-cakung-jakarta-timur-oleh-dwi-purwanti-20276587
"Dijual Rumah di Royal Residence, Pulogebang, Cakung, Jakarta timur",5000000000,4,3,22.727.273,Rumah Dijual,250,220,Lengkap,,1,,2022-07-03,-6.187507,106.959384,"https://maps.google.com/maps?ll=-6.187507,106.959384&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-dijual-rumah-di-royal-residence-pulogebang-cakung-jakarta-timur-oleh-rose-tan-20276405
