name,price,bedroom_count,bathroom_count,price_per_m2,type,land_area,building_area,interior,floor_count,parking_spaces,construction_date,listing_date,latitude,longitude,map_link,developer,url_link
Kelapa Gading,6000000000,5,2,32.085.561,Rumah Dijual,320,187,Tak Berperabot,,2,,2022-07-04,,,,,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-nina-meliana-19690860
Kelapa Gading,3600000000,4,3,25.000.000,Rumah Dijual,184,144,Sebagian,,1,,2022-07-04,-6.160455,106.905462,"https://maps.google.com/maps?ll=-6.160455,106.905462&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-nina-meliana-19761514
Kelapa Gading,6500000000,6,4,38.235.294,Rumah Dijual,390,170,Sebagian,,2,,2022-07-04,-6.161562,106.904938,"https://maps.google.com/maps?ll=-6.161562,106.904938&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-christi-20228474
kelapa gading,2600000000,3,2,28.888.889,Rumah Dijual,120,90,Tak Berperabot,,2,,2022-07-04,-6.158845,106.894546,"https://maps.google.com/maps?ll=-6.158845,106.894546&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-ivan-kustanti-19895670
Kelapa Gading,4000000000,9,5,28.571.429,Rumah Dijual,340,140,Tak Berperabot,,2,,2022-07-04,-6.161309,106.904982,"https://maps.google.com/maps?ll=-6.161309,106.904982&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-randitya-dimas-r-20280938
Kelapa Gading,13500000000,5,5,35.809.019,Rumah Dijual,500,377,Lengkap,,4,,2022-07-04,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-mr-thamrin-18842235
Kelapa gading,25000000000,7,5,49.504.950,Rumah Dijual,490,505,,,,,2022-07-04,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-lia-p-s-20276708
Kelapa Gading,3000000000,5,2,25.423.729,Rumah Dijual,200,118,,,2,,2022-07-04,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-pilar-muhammad-mochtar-20276699
kelapa gading,3300000000,3,3,36.666.667,Rumah Dijual,140,90,Sebagian,,,,2022-07-04,-6.158845,106.894546,"https://maps.google.com/maps?ll=-6.158845,106.894546&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-christine-20053661
Kelapa Gading,5500000000,10,10,42.968.750,Rumah Dijual,220,128,,,,,2022-07-04,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-yenli-20268162
Kelapa gading,6000000000,6,6,29.268.293,Rumah Dijual,605,205,Tak Berperabot,,4,,2022-07-04,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-dellia-20264212
Kelapa gading,5500000000,3,2,30.555.556,Rumah Dijual,200,180,,,2,,2022-07-04,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-femmy-20261130
Kelapa gading,7000000000,4,3,26.819.923,Rumah Dijual,250,261,,,3,,2022-06-27,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-gideon-go-20258135
Kelapa Gading,3300000000,3,3,31.428.571,Rumah Dijual,140,105,,,1,,2022-06-27,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-santy-kho-20196481
kelapa gading,4300000000,4,4,41.747.573,Rumah Dijual,300,103,,,,,2022-06-27,-6.161309,106.904982,"https://maps.google.com/maps?ll=-6.161309,106.904982&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-yuriani-20257200
Kelapa gading,3500000000,5,4,18.134.715,Rumah Dijual,270,193,,,2,,2022-06-27,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-franky-20052556
Kelapa Gading,6000000000,5,4,27.272.727,Rumah Dijual,225,220,,,2,,2022-06-27,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-franky-20052678
Kelapa Gading,2800000000,5,5,27.450.980,Rumah Dijual,291,102,,,2,,2022-06-27,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-franky-20052764
Kelapa Gading,1450000000,2,1,20.714.286,Rumah Dijual,65,70,,,1,,2022-06-27,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-franky-20053630
